name,word,count,positive,negative,review_ids
friend,friend,2,100,0,"['38NJNnXPRblxZMCCttALKQ', '4artGUDQo3TpHywxefQy5A']"
bottl,bottl,2,100,0,"['4artGUDQo3TpHywxefQy5A', 'u_4StEqNgi1F5Va36gPe1A']"
lot,lot,4,100,0,"['4artGUDQo3TpHywxefQy5A', 'adECeHUgc1kKpYMYmDgCNA', 'JqauWBDAKVEuHaYm9bEnSA', 'GpO_NpiRKLz0WdrJZsxy0g']"
realli,realli,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'Noj_gbMvlAxnUnXnYgTPeg']"
serv,serv,2,100,0,"['l9RRz_a8vVLyb6eBG4Zfrg', 'rMDj0NaAc9bgy8FyjHrZMQ']"
great place,great place,2,100,0,"['adECeHUgc1kKpYMYmDgCNA', 'JqauWBDAKVEuHaYm9bEnSA']"
made,made,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'fGj9G7a2FmCAnebWRRf5JQ']"
servic,servic,3,66,33,"['adECeHUgc1kKpYMYmDgCNA', 'es7GnRtZRuV78geY7ziF-g', 'u_4StEqNgi1F5Va36gPe1A']"
fun,fun,2,100,0,"['Yskk1fgYgTeCQyz-Z7h0OA', 'adECeHUgc1kKpYMYmDgCNA']"
atmospher,atmospher,3,100,0,"['4O93Ljg7jCvobaxe70Cxmg', '38NJNnXPRblxZMCCttALKQ', 'roqrXWz2AkO7zD7cAJzJ8A']"
give,give,2,50,50,"['WAWGSaa2TXWbiS37V965kQ', 'rMDj0NaAc9bgy8FyjHrZMQ']"
good,good,2,100,0,"['rMDj0NaAc9bgy8FyjHrZMQ', 'roqrXWz2AkO7zD7cAJzJ8A']"
girl,girl,2,50,50,"['_rRcBjqGWlS9iCNpsC72qQ', 'WAWGSaa2TXWbiS37V965kQ']"
make,make,4,75,25,"['Yskk1fgYgTeCQyz-Z7h0OA', 'spmdYML9ABT8K62q7gDDpQ', 'es7GnRtZRuV78geY7ziF-g', '4artGUDQo3TpHywxefQy5A']"
custom,custom,2,50,50,"['_rRcBjqGWlS9iCNpsC72qQ', 'es7GnRtZRuV78geY7ziF-g']"
alway,alway,2,100,0,"['adECeHUgc1kKpYMYmDgCNA', 'u_4StEqNgi1F5Va36gPe1A']"
coffe,coffe,4,75,25,"['Yskk1fgYgTeCQyz-Z7h0OA', 'spmdYML9ABT8K62q7gDDpQ', 'WAWGSaa2TXWbiS37V965kQ', 'u_4StEqNgi1F5Va36gPe1A']"
weekend,weekend,2,100,0,"['38NJNnXPRblxZMCCttALKQ', 'u_4StEqNgi1F5Va36gPe1A']"
counter,counter,3,66,33,"['Yskk1fgYgTeCQyz-Z7h0OA', 'es7GnRtZRuV78geY7ziF-g', 'u_4StEqNgi1F5Va36gPe1A']"
everyth,everyth,2,50,50,"['adECeHUgc1kKpYMYmDgCNA', 'es7GnRtZRuV78geY7ziF-g']"
barriqu,barriqu,6,83,16,"['_rRcBjqGWlS9iCNpsC72qQ', 'l9RRz_a8vVLyb6eBG4Zfrg', 'es7GnRtZRuV78geY7ziF-g', '38NJNnXPRblxZMCCttALKQ', '4artGUDQo3TpHywxefQy5A', 'GpO_NpiRKLz0WdrJZsxy0g']"
talk,talk,3,33,66,"['_rRcBjqGWlS9iCNpsC72qQ', 'es7GnRtZRuV78geY7ziF-g', 'WAWGSaa2TXWbiS37V965kQ']"
wine,wine,4,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'adECeHUgc1kKpYMYmDgCNA', 'u_4StEqNgi1F5Va36gPe1A', 'roqrXWz2AkO7zD7cAJzJ8A']"
