name,word,count,positive,negative,review_ids
tabl,tabl,3,0,100,"['B6Cyf42B6LKE5kf9O8qaeA', 'yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
breakfast,breakfast,2,50,50,"['Ep7CbV14OrJC9wVnisUvxw', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
remodel,remodel,2,100,0,"['TIEo_UTBB_olBnXvqvmxxQ', 'w7-Rt5xLm8PEFc5P_C_H-g']"
sat,sat,2,50,50,"['JWs1kUaZEnh3UE6FftqJAg', 'xUotouup6cW3TSdcYEkh5A']"
build,build,2,50,50,"['Om3kTNUz57UQDSevN9S4OQ', 'xUotouup6cW3TSdcYEkh5A']"
time sinc,time sinc,2,100,0,"['jqCbCugPzL1QzunNzZoEgg', 'w7-Rt5xLm8PEFc5P_C_H-g']"
eaten,eaten,3,33,66,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
excus,excus,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
menu,menu,2,100,0,"['Ep7CbV14OrJC9wVnisUvxw', 'jqCbCugPzL1QzunNzZoEgg']"
hope,hope,2,100,0,"['jqCbCugPzL1QzunNzZoEgg', 't-Nwp9BfxmVl3c-k87qIVw']"
bad,bad,2,50,50,"['OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
bathroom,bathroom,2,100,0,"['TIEo_UTBB_olBnXvqvmxxQ', 'lfbbDNTCkz7vB8s7TaZsmg']"
velveeta,velveeta,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
servic,servic,2,100,0,"['LcwjMhbcmA5QEK_xKIb4dg', '4oAvRXGJb2T2Gs5mAYL4ow']"
bill,bill,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
ve,ve,2,100,0,"['t-Nwp9BfxmVl3c-k87qIVw', 'w7-Rt5xLm8PEFc5P_C_H-g']"
back,back,4,75,25,"['Ep7CbV14OrJC9wVnisUvxw', 'w7-Rt5xLm8PEFc5P_C_H-g', 'OkYP-v9atGkwyHOepgq3Pw', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
dinner,dinner,2,100,0,"['TIEo_UTBB_olBnXvqvmxxQ', 'lfbbDNTCkz7vB8s7TaZsmg']"
fri,fri,2,50,50,"['OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
skillet,skillet,2,100,0,"['LcwjMhbcmA5QEK_xKIb4dg', 'OkYP-v9atGkwyHOepgq3Pw']"
offer,offer,3,33,66,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'Om3kTNUz57UQDSevN9S4OQ', 'xUotouup6cW3TSdcYEkh5A']"
eat,eat,3,33,66,"['B6Cyf42B6LKE5kf9O8qaeA', 'Om3kTNUz57UQDSevN9S4OQ', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
check,check,2,100,0,"['Om3kTNUz57UQDSevN9S4OQ', 'XGYJV7ifTvB7GIrnk0Ka7Q']"
time,time,3,66,33,"['w7-Rt5xLm8PEFc5P_C_H-g', 'jqCbCugPzL1QzunNzZoEgg', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
